UART Serial read,40:42.3,UART Serial ready,,,,,
Timestamp,40:42.3,Event,LeftIndicator,RightIndicator,Hazard,LeftButton,RightButton
122577,42:44.4,RIGHT_BUTTON_PRESSED,1,1,1,0,1
123209,42:45.0,STATUS_UPDATE,1,1,1,0,1
124209,42:46.0,STATUS_UPDATE,1,1,1,0,1
125209,42:47.0,STATUS_UPDATE,1,1,1,0,1
125335,42:47.1,HAZARD_LIGHTS_DEACTIVATED,0,0,0,0,0
126209,42:48.0,STATUS_UPDATE,0,0,0,0,0
127209,42:49.0,STATUS_UPDATE,0,0,0,0,0
128209,42:50.0,STATUS_UPDATE,0,0,0,0,0
129209,42:51.0,STATUS_UPDATE,0,0,0,0,0
130209,42:52.0,STATUS_UPDATE,0,0,0,0,0
131209,42:53.0,STATUS_UPDATE,0,0,0,0,0
132209,42:54.0,STATUS_UPDATE,0,0,0,0,0
133209,42:55.0,STATUS_UPDATE,0,0,0,0,0
134209,42:56.0,STATUS_UPDATE,0,0,0,0,0
135209,42:57.0,STATUS_UPDATE,0,0,0,0,0
136209,42:58.0,STATUS_UPDATE,0,0,0,0,0
137209,42:59.0,STATUS_UPDATE,0,0,0,0,0
138209,43:00.0,STATUS_UPDATE,0,0,0,0,0
139209,43:01.0,STATUS_UPDATE,0,0,0,0,0
140209,43:02.0,STATUS_UPDATE,0,0,0,0,0
141209,43:03.0,STATUS_UPDATE,0,0,0,0,0
142209,43:04.0,STATUS_UPDATE,0,0,0,0,0
143209,43:05.0,STATUS_UPDATE,0,0,0,0,0
144209,43:06.0,STATUS_UPDATE,0,0,0,0,0
145209,43:07.0,STATUS_UPDATE,0,0,0,0,0
145949,43:07.8,Bluetooth_Connected,0,0,0,0,0
146209,43:08.0,STATUS_UPDATE,0,0,0,0,0
147209,43:09.0,STATUS_UPDATE,0,0,0,0,0
148209,43:10.0,STATUS_UPDATE,0,0,0,0,0
149209,43:11.0,STATUS_UPDATE,0,0,0,0,0
150209,43:12.0,STATUS_UPDATE,0,0,0,0,0
151209,43:13.0,STATUS_UPDATE,0,0,0,0,0
152209,43:14.0,STATUS_UPDATE,0,0,0,0,0
153209,43:15.0,STATUS_UPDATE,0,0,0,0,0
154209,43:16.0,STATUS_UPDATE,0,0,0,0,0
155209,43:17.0,STATUS_UPDATE,0,0,0,0,0
156204,43:18.0,BLE_CMD_LEFT_ON,1,0,0,0,0
156209,43:18.0,STATUS_UPDATE,1,0,0,0,0
157209,43:19.0,STATUS_UPDATE,1,0,0,0,0
158209,43:20.0,STATUS_UPDATE,1,0,0,0,0
159209,43:21.0,STATUS_UPDATE,1,0,0,0,0
160209,43:22.0,STATUS_UPDATE,1,0,0,0,0
161209,43:23.0,STATUS_UPDATE,1,0,0,0,0
162209,43:24.0,STATUS_UPDATE,1,0,0,0,0
163209,43:25.0,STATUS_UPDATE,1,0,0,0,0
164209,43:26.0,STATUS_UPDATE,1,0,0,0,0
164664,43:26.5,BLE_CMD_RIGHT_ON,0,1,0,0,0
165209,43:27.0,STATUS_UPDATE,0,1,0,0,0
166209,43:28.0,STATUS_UPDATE,0,1,0,0,0
167209,43:29.0,STATUS_UPDATE,0,1,0,0,0
168209,43:30.0,STATUS_UPDATE,0,1,0,0,0
169209,43:31.0,STATUS_UPDATE,0,1,0,0,0
170209,43:32.0,STATUS_UPDATE,0,1,0,0,0
171209,43:33.0,STATUS_UPDATE,0,1,0,0,0
172209,43:34.0,STATUS_UPDATE,0,1,0,0,0
173209,43:35.0,STATUS_UPDATE,0,1,0,0,0
173260,43:35.1,BLE_CMD_HAZARD_ON,1,1,1,0,0
174209,43:36.0,STATUS_UPDATE,1,1,1,0,0
175209,43:37.0,STATUS_UPDATE,1,1,1,0,0
176209,43:38.0,STATUS_UPDATE,1,1,1,0,0
177209,43:39.0,STATUS_UPDATE,1,1,1,0,0
178209,43:40.0,STATUS_UPDATE,1,1,1,0,0
179209,43:41.0,STATUS_UPDATE,1,1,1,0,0
180209,43:42.0,STATUS_UPDATE,1,1,1,0,0
181209,43:43.0,STATUS_UPDATE,1,1,1,0,0
182209,43:44.0,STATUS_UPDATE,1,1,1,0,0
183209,43:45.0,STATUS_UPDATE,1,1,1,0,0
183835,43:45.6,BLE_CMD_ALL_OFF,0,0,0,0,0
184209,43:46.0,STATUS_UPDATE,0,0,0,0,0
185209,43:47.0,STATUS_UPDATE,0,0,0,0,0
186209,43:48.0,STATUS_UPDATE,0,0,0,0,0
187209,43:49.0,STATUS_UPDATE,0,0,0,0,0
188209,43:50.0,STATUS_UPDATE,0,0,0,0,0
189209,43:51.0,STATUS_UPDATE,0,0,0,0,0
190209,43:52.0,STATUS_UPDATE,0,0,0,0,0
191209,43:53.0,STATUS_UPDATE,0,0,0,0,0
192209,43:54.0,STATUS_UPDATE,0,0,0,0,0
193209,43:55.0,STATUS_UPDATE,0,0,0,0,0
193375,43:55.2,BLE_CMD_HAZARD_ON,1,1,1,0,0
194209,43:56.0,STATUS_UPDATE,1,1,1,0,0
195209,43:57.0,STATUS_UPDATE,1,1,1,0,0
196209,43:58.0,STATUS_UPDATE,1,1,1,0,0
197209,43:59.0,STATUS_UPDATE,1,1,1,0,0
198209,44:00.0,STATUS_UPDATE,1,1,1,0,0
199209,44:01.0,STATUS_UPDATE,1,1,1,0,0
200209,44:02.0,STATUS_UPDATE,1,1,1,0,0
201115,44:02.9,BLE_CMD_ALL_OFF,0,0,0,0,0
201209,44:03.0,STATUS_UPDATE,0,0,0,0,0
202209,44:04.0,STATUS_UPDATE,0,0,0,0,0
203209,44:05.0,STATUS_UPDATE,0,0,0,0,0
203995,44:05.8,BLE_CMD_LEFT_ON,1,0,0,0,0
204209,44:06.0,STATUS_UPDATE,1,0,0,0,0
205209,44:07.0,STATUS_UPDATE,1,0,0,0,0
206209,44:08.0,STATUS_UPDATE,1,0,0,0,0
207209,44:09.0,STATUS_UPDATE,1,0,0,0,0
208209,44:10.0,STATUS_UPDATE,1,0,0,0,0
208675,44:10.5,BLE_CMD_ALL_OFF,0,0,0,0,0
209209,44:11.0,STATUS_UPDATE,0,0,0,0,0
210209,44:12.0,STATUS_UPDATE,0,0,0,0,0
211209,44:13.0,STATUS_UPDATE,0,0,0,0,0
212209,44:14.0,STATUS_UPDATE,0,0,0,0,0
213175,44:15.0,BLE_CMD_RIGHT_ON,0,1,0,0,0
213209,44:15.0,STATUS_UPDATE,0,1,0,0,0
214209,44:16.0,STATUS_UPDATE,0,1,0,0,0
215209,44:17.0,STATUS_UPDATE,0,1,0,0,0
216209,44:18.0,STATUS_UPDATE,0,1,0,0,0
217209,44:19.0,STATUS_UPDATE,0,1,0,0,0
218209,44:20.0,STATUS_UPDATE,0,1,0,0,0
219070,44:20.9,BLE_CMD_ALL_OFF,0,0,0,0,0
219209,44:21.0,STATUS_UPDATE,0,0,0,0,0
220209,44:22.0,STATUS_UPDATE,0,0,0,0,0
221209,44:23.0,STATUS_UPDATE,0,0,0,0,0
222209,44:24.0,STATUS_UPDATE,0,0,0,0,0
223209,44:25.0,STATUS_UPDATE,0,0,0,0,0
224209,44:26.0,STATUS_UPDATE,0,0,0,0,0
224605,44:26.4,BLE_CMD_HAZARD_ON,1,1,1,0,0
225209,44:27.0,STATUS_UPDATE,1,1,1,0,0
226209,44:28.0,STATUS_UPDATE,1,1,1,0,0
227209,44:29.0,STATUS_UPDATE,1,1,1,0,0
228209,44:30.0,STATUS_UPDATE,1,1,1,0,0
229209,44:31.0,STATUS_UPDATE,1,1,1,0,0
230209,44:32.0,STATUS_UPDATE,1,1,1,0,0
230725,44:32.5,BLE_CMD_ALL_OFF,0,0,0,0,0
231209,44:33.0,STATUS_UPDATE,0,0,0,0,0
232209,44:34.0,STATUS_UPDATE,0,0,0,0,0
233201,44:35.0,BLE_CMD_HAZARD_ON,1,1,1,0,0
233209,44:35.0,STATUS_UPDATE,1,1,1,0,0
234209,44:36.0,STATUS_UPDATE,1,1,1,0,0
235209,44:37.0,STATUS_UPDATE,1,1,1,0,0
236209,44:38.0,STATUS_UPDATE,1,1,1,0,0
237133,44:38.9,RIGHT_BUTTON_PRESSED,1,1,1,0,1
237209,44:39.0,STATUS_UPDATE,1,1,1,0,1
238209,44:40.0,STATUS_UPDATE,1,1,1,0,1
239209,44:41.0,STATUS_UPDATE,1,1,1,0,1
239269,44:41.1,HAZARD_LIGHTS_DEACTIVATED,0,0,0,0,0
240209,44:42.0,STATUS_UPDATE,0,0,0,0,0
241209,44:43.0,STATUS_UPDATE,0,0,0,0,0
242209,44:44.0,STATUS_UPDATE,0,0,0,0,0
243209,44:45.0,STATUS_UPDATE,0,0,0,0,0
244209,44:46.0,STATUS_UPDATE,0,0,0,0,0
245209,44:47.0,STATUS_UPDATE,0,0,0,0,0
246209,44:48.0,STATUS_UPDATE,0,0,0,0,0
246260,44:48.1,LEFT_BUTTON_PRESSED,0,0,0,1,0
247209,44:49.0,STATUS_UPDATE,0,0,0,1,0
248209,44:50.0,STATUS_UPDATE,0,0,0,1,0
248832,44:50.6,LEFT_INDICATOR_ON,1,0,0,0,0
249209,44:51.0,STATUS_UPDATE,1,0,0,0,0
